, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,lop12_matinh,lop12_matruong,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai
0,1995.0,1.0,Hồ Chí Minh,KTPM0001,CNPM,0,8.0,D480103,0.0,31.0,2.0,102.0,6.02,7.03,6.4,7.01,6.35,6.77,6.24,0.0,0.0,0.0,0,0,0,22,18,26,19,20,19,16,155.0,5.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,95,77,74,82,92,78,64,0
1,1995.0,0.0,Hà Tĩnh,KTPM0001,CNPM,0,8.0,D480103,0.0,27.0,30.0,45.0,7.36,7.41,7.95,8.48,7.69,7.96,8.01,0.0,0.0,0.0,0,0,0,22,22,19,21,16,15,16,155.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,3,3,4,4,4,4,96,97,97,92,94,79,75,1
2,1995.0,1.0,Quảng Ngãi,HTTT0001,HTTT,0,8.0,D52480104,0.0,26.0,35.0,15.0,4.18,5.7,5.3,4.38,5.66,5.06,6.31,2.45,5.81,7.59,10,7,7,22,20,25,17,28,26,20,154.0,10.0,7.0,8.0,11.0,4.0,7.0,0.0,10.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,97,72,81,61,90,58,56,0
3,1994.0,1.0,Hồ Chí Minh,KHMT0001,KHMT,0,8.0,D480101,0.0,24.5,2.0,40.0,5.52,4.13,5.79,6.74,7.31,5.64,6.32,5.5,6.98,0.0,6,11,0,22,15,28,19,27,20,22,142.0,9.0,7.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,62,88,92,86,50,39,56,0
4,1995.0,1.0,Khánh Hoà,MMTT0001,MMT&TT,0,8.0,D480102,0.0,28.0,41.0,15.0,7.41,5.87,6.26,7.47,7.29,6.43,6.58,0.0,0.0,7.36,0,0,7,22,19,23,19,21,18,15,149.0,3.0,7.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,70,73,68,72,55,77,62,0
5,1995.0,1.0,Cần Thơ,MTCL2013,KTMT,1,8.0,D520214,0.0,25.0,55.0,13.0,7.0,6.8,6.7,8.04,7.59,7.4,6.79,0.0,0.0,0.0,0,0,0,22,22,23,14,15,16,17,148.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,83,73,65,86,88,72,68,1
6,1991.0,1.0,Khánh Hoà,CNTT2013,KTTT,0,8.0,D480201,0.0,24.5,41.0,22.0,5.64,6.75,8.24,6.64,7.74,7.87,8.16,0.0,0.0,0.0,0,0,0,22,22,29,14,17,18,17,143.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,100,100,100,81,100,86,92,1
7,1995.0,1.0,Khánh Hoà,KTPM0001,CNPM,0,8.0,D480103,0.0,28.5,41.0,41.0,6.95,5.75,6.02,6.99,7.09,7.99,8.07,0.0,0.0,0.0,3,0,0,22,22,21,18,15,23,17,156.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,81,76,63,78,77,75,64,1
8,1995.0,1.0,Hồ Chí Minh,KHMT2013,KHMT,0,8.0,D480101,0.0,26.5,2.0,59.0,5.16,6.13,6.74,5.54,6.89,7.29,7.72,4.0,8.75,0.0,6,6,0,22,16,27,25,21,19,26,151.0,14.0,8.0,6.0,3.0,6.0,3.0,0.0,3.0,0.0,0.0,2,3,3,3,4,4,4,4,4,4,65,66,83,67,80,69,56,1
9,1995.0,1.0,Kiên Giang,KHMT0001,KHMT,0,8.0,D480101,0.0,25.5,2.0,63.0,5.25,6.37,6.29,6.59,6.32,7.14,7.01,7.71,0.0,0.0,7,0,0,22,19,24,19,20,20,14,142.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,85,87,92,90,93,75,66,0
10,1995.0,1.0,Lâm Đồng,ANTT2013,MMT&TT,0,8.0,D480299,0.0,26.0,42.0,36.0,6.93,3.88,6.63,5.13,7.55,7.3,8.64,0.0,0.0,0.0,0,0,0,22,20,27,24,16,20,19,149.0,3.0,11.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,94,89,100,90,91,84,74,0
11,1994.0,1.0,Hồ Chí Minh,PMCL2013,CNPM,1,8.0,D480103,0.0,30.0,2.0,2.0,7.32,7.3,8.06,8.81,7.86,8.26,8.73,0.0,0.0,0.0,0,0,0,22,22,25,15,18,15,15,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,81,76,78,74,78,80,72,2
12,1995.0,1.0,Kiên Giang,ANTT2013,MMT&TT,0,8.0,D480299,0.0,29.0,54.0,18.0,6.0,6.19,7.42,4.06,6.2,7.34,6.41,4.0,0.0,0.0,6,0,0,22,18,19,17,21,20,22,149.0,10.0,7.0,0.0,11.0,7.0,0.0,4.0,6.0,0.0,0.0,3,3,3,4,4,4,4,4,4,4,96,87,92,67,73,67,60,1
13,1995.0,1.0,Trà Vinh,MMTT0001,MMT&TT,0,8.0,D480299,0.0,25.0,58.0,6.0,6.8,6.5,7.96,8.74,8.68,8.0,9.01,0.0,0.0,0.0,0,0,0,22,20,24,21,16,13,15,153.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,3,3,3,4,4,4,91,88,79,87,78,74,79,1
14,1995.0,0.0,Hồ Chí Minh,KTPM0001,CNPM,0,8.0,D480103,0.0,29.5,49.0,11.0,6.59,7.36,7.17,7.17,6.07,6.81,6.69,6.5,0.0,0.0,3,0,0,22,18,21,19,15,19,16,155.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,93,86,85,84,92,80,75,1
15,1995.0,1.0,Hồ Chí Minh,KTMT0001,KTMT,0,8.0,D520214,0.0,26.0,2.0,34.0,6.45,6.47,6.62,6.64,5.5,7.35,6.97,0.0,0.0,0.0,0,0,0,22,19,21,23,16,19,16,147.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,80,68,41,70,66,66,64,1
