Unnamed: 0, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai,cluster
1279,1998.0,1.0,Thanh Hóa,KHMT2016.1,KHMT,0,11.0,D480101,0.0,22.5,0.6948453608247424,0.5737874097007224,0.8158995815899581,7.25,7.54,6.85,7.65,0.0,0.0,0.0,0.0,0.0,0.0,17,21,23,19,19,21,16,144.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,56,62,78,68,80,85,79,1,0
561,1996.0,1.0,Quảng Nam,KTMT0001,KTMT,0,9.0,D520214,-1.0,-1.0,0.777319587628866,0.4416924664602684,0.760460251046025,6.45,6.6,6.56,7.52,0.0,0.0,0.0,0.0,0.0,0.0,13,20,23,23,20,18,17,151.0,0.0,16.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,67,51,80,70,62,69,76,0,0
173,1995.0,1.0,Nghệ An,MMTT2013,MMT&TT,0,8.0,D480102,0.0,26.0,0.6721649484536083,0.5108359133126935,0.8138075313807531,7.06,8.08,7.26,7.03,0.0,0.0,0.0,0.0,0.0,0.0,22,19,18,23,16,14,18,151.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,94,70,81,78,93,77,62,0,0
475,1996.0,1.0,Khánh Hoà,HTTT2014,HTTT,0,9.0,D480104,-1.0,-1.0,0.663917525773196,0.5500515995872034,0.7981171548117154,7.06,6.72,6.71,7.46,0.0,0.0,0.0,0.0,0.0,0.0,17,24,23,27,20,21,18,156.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,67,67,88,61,62,66,76,0,0
1529,1998.0,1.0,Hồ Chí Minh,KHMT0001,KHMT,0,11.0,D480101,0.0,22.25,0.720618556701031,0.43240454076367396,0.8242677824267782,8.45,8.15,7.18,7.26,0.0,0.0,0.0,0.0,0.0,0.0,17,19,24,24,23,16,19,142.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,69,76,85,80,81,75,88,1,0
1158,1997.0,1.0,Hồ Chí Minh,KTMT0001,KTMT,0,10.0,D520214,-1.0,-1.0,0.7948453608247423,0.8183694530443757,0.8274058577405857,7.07,7.5,7.43,8.12,0.0,0.0,0.0,0.0,0.0,0.0,17,21,22,21,16,16,17,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,94,75,66,80,76,80,85,1,1
2252,2000.0,1.0,Hồ Chí Minh,MTCL2018.1,KTMT,1,13.0,D520214,0.0,20.55,0.7896907216494846,0.846233230134159,0.8127615062761505,7.56,7.58,8.93,8.38,0.0,0.0,0.0,0.0,0.0,0.0,21,20,23,19,20,14,10,146.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,5,6,6,6,6,6,6,6,75,83,94,84,84,95,100,1,1
1689,1999.0,1.0,Quảng Nam,KHTN2017,KHMT,3,12.0,D480101,0.0,25.0,0.7793814432989691,0.8503611971104232,0.8619246861924686,8.26,8.06,9.59,9.3,0.0,0.0,0.0,0.0,0.0,0.0,16,19,21,24,20,14,10,136.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2,2,2,3,3,3,3,3,3,4,76,85,100,85,100,100,100,1,1
2423,2000.0,1.0,Lâm Đồng,CNTT2018,KTTT,0,13.0,D480201,0.0,22.65,0.8195876288659795,0.8617131062951496,0.8430962343096234,7.68,8.09,7.96,7.44,0.0,0.0,0.0,0.0,0.0,0.0,20,16,16,16,18,17,16,137.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,86,85,100,100,84,100,89,0,1
2076,1999.0,1.0,Hồ Chí Minh,MMCL2017,MMT&TT,1,12.0,D480102,0.0,20.5,0.7927835051546392,0.8761609907120744,0.850418410041841,7.86,8.51,8.51,9.2,0.0,0.0,0.0,0.0,0.0,0.0,18,22,22,20,21,16,16,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,5,5,6,6,6,6,73,73,68,78,95,88,100,2,1
